FuncAddr			CpuTime		Percentage		SelfTime		Percentage		CallTimes		AvarageSelfTime
0x4ffff15c1e80		53406083				0.012904%		53406083				0.012904%		1041641			51.271103
0x4ffff0748924		14052				0.000003%		14052				0.000003%		1			14052.000000
0x4ffff09c2b60		14747				0.000004%		7326				0.000002%		1			7326.000000
0x4ffff07ff9d4		1245726				0.000301%		1244871				0.000301%		1			1244871.000000
0x4ffff0778244		2340				0.000001%		2340				0.000001%		1			2340.000000
0x4ffff07c8520		8823				0.000002%		8823				0.000002%		1			8823.000000
0x4ffff07c6120		336				0.000000%		336				0.000000%		1			336.000000
0x4ffff070f894		1314				0.000000%		1314				0.000000%		1			1314.000000
0x4ffff0746660		1228				0.000000%		1228				0.000000%		1			1228.000000
0x4ffff0b4c478		706068				0.000171%		58370				0.000014%		1			58370.000000
0x4ffff0b8a4d4		281917				0.000068%		140978				0.000034%		4			35244.500000
0x4ffff07f7844		9081399				0.002194%		8747772				0.002114%		211			41458.635071
0x4ffff0a70678		1342000				0.000324%		278149				0.000067%		1			278149.000000
0x4ffff0a58c80		87116990				0.021050%		640764				0.000155%		1			640764.000000
0x4ffff084f004		14152				0.000003%		14152				0.000003%		1			14152.000000
0x4ffff072dfb4		12885893				0.003114%		867188				0.000210%		85			10202.211765
0x4ffff07fb418		1644				0.000000%		1644				0.000000%		1			1644.000000
0x4ffff08c6554		2749				0.000001%		2749				0.000001%		8			343.625000
0x4ffff0831484		64436				0.000016%		64436				0.000016%		185			348.302703
0x4ffff07c58fc		924				0.000000%		924				0.000000%		2			462.000000
0x4ffff08abf3c		59258				0.000014%		59258				0.000014%		66			897.848485
0x4ffff09d3064		11978				0.000003%		11978				0.000003%		1			11978.000000
0x4ffff07a43d8		140				0.000000%		140				0.000000%		2			70.000000
0x4ffff0a64d3c		2738				0.000001%		2738				0.000001%		1			2738.000000
0x4ffff0a64350		87355436				0.021107%		61291				0.000015%		1			61291.000000
0x4ffff0745ea8		1418				0.000000%		1418				0.000000%		1			1418.000000
0x4ffff15c0514		10579534755				2.556301%		10526128672				2.543397%		1			10526128672.000000
0x4ffff09694c8		915				0.000000%		915				0.000000%		1			915.000000
0x4ffff09b9d64		4865				0.000001%		4865				0.000001%		1			4865.000000
0x4ffff07c5a5c		535				0.000000%		535				0.000000%		1			535.000000
0x4ffff07c13c8		5335				0.000001%		5335				0.000001%		1			5335.000000
0x4ffff09ca2d8		3182				0.000001%		3182				0.000001%		1			3182.000000
0x4ffff0779e94		1518				0.000000%		1518				0.000000%		2			759.000000
0x4ffff07b5524		11436				0.000003%		11352				0.000003%		1			11352.000000
0x4ffff0742f30		40679642				0.009829%		9477				0.000002%		1			9477.000000
